lic bed size,DAY_TOT,adj pat days,DIS_TOT,DSH hosp,FAC_NO,FAC_NAME
1-49,5361.0,17361.000915171,114.0,Non-DSH,106321016.0,SENECA HEALTHCARE DISTRICT
100-149,18222.0,39012.9312487705,4251.0,DSH,106291023.0,SIERRA NEVADA MEMORIAL HOSPITAL
1-49,10829.0,10829.0,322.0,Non-DSH,106491338.0,SONOMA SPECIALTY HOSPITAL
1-49,10696.0,31520.0159628137,88.0,Non-DSH,106141338.0,SOUTHERN INYO HOSPITAL
50-99,13198.0,36032.0705388979,3255.0,DSH,106521041.0,ST. ELIZABETH COMMUNITY HOSPITAL
1-49,8202.0,12228.381554684913,65.0,Non-DSH,106250955.0,SURPRISE VALLEY COMMUNITY HOSPITAL
50-99,9762.0,25028.3356687103,2190.0,DSH,106034002.0,SUTTER AMADOR HOSPITAL
1-49,9767.0,26753.0726303406,2079.0,DSH,106084001.0,SUTTER COAST HOSPITAL
1-49,6734.0,23559.2730107845,1600.0,DSH,106171395.0,SUTTER LAKESIDE HOSPITAL
50-99,13808.0,68574.1760158314,1519.0,Non-DSH,106291053.0,TAHOE FOREST HOSPITAL
100-149,17698.0,33925.0417716147,3904.0,Non-DSH,106400548.0,TENET HEALTH CENTRAL COAST TWIN CITIES COMMUNITY HOSPITAL
1-49,7232.0,18777.1304516841,252.0,Non-DSH,106531059.0,TRINITY HOSPITAL
100-149,17093.0,29850.0002751048,5396.0,DSH,106361370.0,VICTOR VALLEY GLOBAL MEDICAL CENTER
50-99,6921.0,13053.6141233835,1321.0,Non-DSH,106540680.0,ALTA HOSPITAL DISTRICT
1-49,3749.0,8233.455520230156,69.0,Non-DSH,106190045.0,AVALON MUNICIPAL HOSPITAL & CLINIC
50-99,9965.0,15286.218437704596,2961.0,Non-DSH,106361105.0,BARSTOW COMMUNITY HOSPITAL
50-99,11359.0,21868.81963126608,4723.0,Non-DSH,106090793.0,BARTON MEMORIAL HOSPITAL
1-49,6970.0,14725.425492483679,552.0,Non-DSH,106361110.0,BEAR VALLEY COMMUNITY HOSPITAL
50-99,10420.0,22630.210579987397,1064.0,Non-DSH,106040802.0,BIGGS-GRIDLEY MEMORIAL HOSPITAL
1-49,1455.0,6800.681699132511,344.0,DSH,106240803.0,BLOSS MEMORIAL DISTRICT HOSPITAL
1-49,6618.0,11810.37729048716,188.0,DSH,106200692.0,CHOWCHILLA DISTRICT MEMORIAL HOSPITAL
50-99,16811.0,28023.61049386012,1064.0,Non-DSH,106100697.0,COALINGA REGIONAL MEDICAL CENTER
50-99,4328.0,8196.361207448548,1036.0,Non-DSH,106060870.0,COLUSA COMMUNITY HOSPITAL
1-49,6322.0,14740.653505410626,1252.0,Non-DSH,106160702.0,CORCORAN DISTRICT HOSPITAL
1-49,8226.0,19348.07238252453,111.0,Non-DSH,106500850.0,DEL PUERTO HOSPITAL
1-49,10135.0,18384.415086985435,147.0,Non-DSH,106240853.0,DOS PALOS MEMORIAL HOSPITAL
1-49,6323.0,13261.25610675077,524.0,Non-DSH,106320859.0,EASTERN PLUMAS DISTRICT HOSPITAL
100-149,34965.0,54830.865799853476,2270.0,Non-DSH,106370705.0,FALLBROOK HOSPITAL DISTRICT
1-49,3343.0,6788.460419153445,900.0,Non-DSH,106230949.0,FRANK R HOWARD MEMORIAL HOSPITAL
1-49,6589.0,12836.877808251682,1188.0,DSH,106270777.0,GEORGE L. MEE MEMORIAL HOSPITAL
50-99,811.0,5303.6067035306505,276.0,Non-DSH,106110889.0,GLENN MEDICAL CENTER
50-99,17109.0,36971.19884031241,4969.0,Non-DSH,106160725.0,HANFORD COMMUNITY HOSPITAL
100-149,24102.0,44349.09809452566,1853.0,Non-DSH,106350784.0,HAZEL HAWKINS MEMORIAL HOSPITAL
1-49,8268.0,14211.939418934184,1966.0,Non-DSH,106490964.0,HEALDSBURG GENERAL HOSPITAL
150-199,42109.0,57861.96679045776,2958.0,DSH,106362041.0,HI-DESERT MEDICAL CENTER
1-49,7837.0,11279.943706701819,318.0,Non-DSH,106320874.0,INDIAN VALLEY HOSPITAL
50-99,14543.0,20245.91444924281,5071.0,Non-DSH,106334001.0,INLAND VALLEY REGIONAL MEDICAL CENTER
1-49,6999.0,17839.144678600558,505.0,DSH,106220733.0,JOHN C FREMONT HOSPITAL
100-149,27869.0,37527.732305633195,1198.0,Non-DSH,106150737.0,KERN VALLEY HOSPITAL
1-49,4450.0,9270.153757310483,92.0,Non-DSH,106100745.0,KINGSBURG MEDICAL HOSPITAL
50-99,11142.0,22787.8258606088,1118.0,Non-DSH,106180919.0,LASSEN COMMUNITY HOSPITAL
100-149,16367.0,25091.442104312562,1729.0,DSH,106540746.0,LINDSAY DISTRICT HOSPITAL
150-199,47745.0,92849.18975388579,2538.0,Non-DSH,106420491.0,LOMPOC DISTRICT HOSPITAL
1-49,6261.0,10272.156039693231,1565.0,Non-DSH,106240924.0,LOS BANOS COMMUNITY HOSPITAL
1-49,722.0,2129.062468386257,393.0,Non-DSH,106260011.0,MAMMOTH HOSPITAL
1-49,3030.0,5565.9753498312875,773.0,Non-DSH,106050932.0,MARK TWAIN ST. JOSEPH'S HOSPITAL
100-149,22453.0,41461.857984135786,4380.0,Non-DSH,106090933.0,MARSHALL HOSPITAL
100-149,32241.0,48239.574799501184,798.0,DSH,106450936.0,MAYERS MEMORIAL HOSPITAL
50-99,23928.0,28679.339568390922,212.0,Non-DSH,106540755.0,MEMORIAL HOSPITAL AT EXETER
50-99,8526.0,17459.417485408485,1987.0,Non-DSH,106231013.0,MENDOCINO COAST DISTRICT HOSPITAL
50-99,20269.0,32829.70301778664,1652.0,Non-DSH,106470871.0,MERCY HOSPITAL OF MT. SHASTA
50-99,22778.0,38391.23240430335,320.0,DSH,106250956.0,MODOC MEDICAL CENTER
1-49,7921.0,15239.801684373311,945.0,DSH,106361266.0,MOUNTAINS COMMUNITY HOSPITAL
50-99,7012.0,9999.586908933537,2041.0,Non-DSH,106361458.0,NEEDLES-DESERT COMMUNITIES HOSPITAL
1-49,2252.0,2649.573248285339,427.0,Non-DSH,106190559.0,NEWHALL COMMUNITY HOSPITAL
1-49,3743.0,6755.695405014806,1369.0,Non-DSH,106141273.0,NORTHERN INYO HOSPITAL
100-149,42528.0,71492.53193836389,2138.0,Non-DSH,106500967.0,OAK VALLEY DISTRICT HOSPITAL
100-149,25067.0,40091.09059318707,1833.0,Non-DSH,106560501.0,OJAI VALLEY COMMUNITY HOSPITAL
50-99,8391.0,14573.235578082793,1851.0,Non-DSH,106491338.0,PALM DRIVE HOSPITAL
50-99,6118.0,11213.325197486796,1863.0,Non-DSH,106331288.0,PALO VERDE HOSPITAL
50-99,13790.0,22805.112583398393,3820.0,DSH,106130760.0,PIONEERS MEMORIAL HOSPITAL
1-49,2241.0,5251.926945747469,653.0,Non-DSH,106320986.0,PLUMAS DISTRICT HOSPITAL
1-49,4743.0,11638.369457487237,1357.0,Non-DSH,106171049.0,REDBUD COMMUNITY HOSPITAL
1-49,7389.0,13304.781366666464,1994.0,Non-DSH,106121051.0,REDWOOD MEMORIAL HOSPITAL
50-99,8706.0,14925.074435035467,2398.0,Non-DSH,106150782.0,RIDGECREST COMMUNITY HOSPITAL
50-99,9848.0,14025.509088160943,2574.0,Non-DSH,106331326.0,SAN GORGONIO MEMORIAL HOSPITAL
1-49,4690.0,6443.74642912826,1140.0,Non-DSH,106100791.0,SANGER GENERAL HOSPITAL
1-49,1438.0,4414.140169607443,396.0,Non-DSH,106420522.0,SANTA YNEZ VALLEY COTTAGE HOSPITAL
50-99,8016.0,18737.856344329884,2172.0,Non-DSH,106100793.0,SELMA DISTRICT HOSPITAL
1-49,7161.0,13777.786804955345,382.0,DSH,106321016.0,SENECA HOSPITAL
100-149,39998.0,46496.07116572164,184.0,Non-DSH,106410828.0,SETON MEDICAL CENTER - COASTSIDE
1-49,3311.0,8675.266103493788,1388.0,Non-DSH,106100797.0,SIERRA KINGS HOSPITAL
100-149,11486.0,17814.350493232083,2876.0,Non-DSH,106291023.0,SIERRA NEVADA MEMORIAL HOSPITAL
1-49,12062.0,16265.01712705682,82.0,DSH,106461024.0,SIERRA VALLEY DISTRICT HOSPITAL
50-99,4477.0,10757.240791451264,1358.0,Non-DSH,106471031.0,SISKIYOU GENERAL HOSPITAL
100-149,34097.0,66374.9309440926,3572.0,Non-DSH,106551034.0,SONORA COMMUNITY HOSPITAL
1-49,4467.0,9398.08031690965,589.0,DSH,106121031.0,SOUTHERN HUMBOLDT COMMUNITY HOSPITAL
1-49,11836.0,22318.971844136322,130.0,Non-DSH,106141338.0,SOUTHERN INYO HOSPITAL
50-99,12099.0,21265.877844471914,3584.0,Non-DSH,106521041.0,ST. ELIZABETH COMMUNITY HOSPITAL
150-199,33382.0,43369.2398932764,8006.0,Non-DSH,106361343.0,ST. MARY REGIONAL MEDICAL CENTER
1-49,7936.0,10212.05926784634,115.0,Non-DSH,106250955.0,SURPRISE VALLEY COMMUNITY HOSPITAL
50-99,18117.0,28447.837737294416,2787.0,Non-DSH,106030786.0,SUTTER AMADOR HOSPITAL
1-49,10991.0,19398.453717543063,2594.0,Non-DSH,106084001.0,SUTTER COAST HOSPITAL
50-99,11765.0,22339.60895422594,2476.0,Non-DSH,106171395.0,SUTTER-LAKESIDE COMMUNITY HOSPITAL
50-99,17879.0,31941.002698172466,1833.0,Non-DSH,106291053.0,TAHOE FOREST HOSPITAL
1-49,6391.0,27058.3060451478,171.0,Non-DSH,106150808.0,TEHACHAPI HOSPITAL
50-99,12886.0,18768.00344138191,1064.0,DSH,106531059.0,TRINITY GENERAL HOSPITAL
50-99,20709.0,41695.958777414475,1565.0,DSH,106551061.0,TUOLUMNE GENERAL HOSPITAL
50-99,16718.0,24062.903476018175,4206.0,DSH,106400548.0,TWIN CITIES COMMUNITY HOSPITAL
100-149,18990.0,33497.27238956347,4036.0,Non-DSH,106231396.0,UKIAH VALLEY MEDICAL CENTER-HOSPITAL DR
100-149,30608.0,44687.45318366739,7757.0,Non-DSH,106361370.0,VICTOR VALLEY COMMUNITY HOSPITAL
50-99,23807.0,37156.94848962837,275.0,DSH,106150830.0,WEST SIDE DIST HOSP & NURSING HOME
1-49,2915.0,4709.373314266184,59.0,Non-DSH,106190045.0,AVALON MUNICIPAL HOSPITAL & CLINIC
50-99,10087.0,16052.6889378987,2976.0,Non-DSH,106361105.0,BARSTOW COMMUNITY HOSPITAL
100-149,27756.0,46634.808487738854,4675.0,Non-DSH,106090793.0,BARTON MEMORIAL HOSPITAL
1-49,7563.0,18802.41832941449,427.0,Non-DSH,106361110.0,BEAR VALLEY COMMUNITY HOSPITAL
1-49,3468.0,8803.63763944929,872.0,Non-DSH,106040802.0,BIGGS-GRIDLEY MEMORIAL HOSPITAL
1-49,5943.0,11628.099844380695,94.0,DSH,106200692.0,CHOWCHILLA DISTRICT MEMORIAL HOSPITAL
50-99,14688.0,23756.497294700537,747.0,Non-DSH,106100697.0,COALINGA REGIONAL MEDICAL CENTER
50-99,9040.0,13569.030539312214,1939.0,Non-DSH,106361458.0,COLORADO RIVER MEDICAL CENTER
1-49,4252.0,6960.924288202695,1001.0,DSH,106160702.0,CORCORAN DISTRICT HOSPITAL
1-49,9643.0,19092.329045306386,350.0,Non-DSH,106240853.0,DOS PALOS MEMORIAL HOSPITAL
1-49,7372.0,16615.984707840835,511.0,Non-DSH,106320859.0,EASTERN PLUMAS HEALTH CARE
1-49,4751.0,11821.610200211933,1586.0,Non-DSH,106474007.0,FAIRCHILD MEDICAL CENTER
100-149,34613.0,61874.22864292118,2317.0,Non-DSH,106370705.0,FALLBROOK HOSPITAL DISTRICT
1-49,3180.0,6671.323426238918,892.0,Non-DSH,106230949.0,FRANK R HOWARD MEMORIAL HOSPITAL
1-49,8400.0,23195.59573448324,1311.0,DSH,106270777.0,GEORGE L. MEE MEMORIAL HOSPITAL
1-49,756.0,3585.8257217992314,270.0,Non-DSH,106110889.0,GLENN MEDICAL CENTER
50-99,15003.0,36539.25480014433,4109.0,Non-DSH,106160725.0,HANFORD COMMUNITY HOSPITAL
100-149,25050.0,48231.42101871633,2390.0,Non-DSH,106350784.0,HAZEL HAWKINS MEMORIAL HOSPITAL
1-49,6095.0,13229.070685326364,1651.0,Non-DSH,106490964.0,HEALDSBURG GENERAL HOSPITAL
150-199,47082.0,68516.68556020013,2820.0,DSH,106362041.0,HI-DESERT MEDICAL CENTER
1-49,7752.0,12907.980332073203,331.0,DSH,106320874.0,INDIAN VALLEY HOSPITAL
50-99,22573.0,32102.01889999936,7564.0,Non-DSH,106334001.0,INLAND VALLEY REGIONAL MEDICAL CENTER
1-49,3371.0,10071.415572532813,215.0,DSH,106121031.0,JEROLD PHELPS COMMUNITY HOSPITAL
1-49,6563.0,17744.92729450025,287.0,DSH,106220733.0,JOHN C FREMONT HEALTHCARE DISTRICT
100-149,31781.0,49187.68835976249,1379.0,DSH,106150737.0,KERN VALLEY HEALTHCARE DISTRICT
1-49,7925.0,13615.837704916881,676.0,Non-DSH,106100745.0,KINGSBURG MEDICAL HOSPITAL
50-99,10128.0,23856.50574236302,1203.0,Non-DSH,106180919.0,LASSEN COMMUNITY HOSPITAL
100-149,17402.0,22080.559954295797,1277.0,Non-DSH,106540746.0,LINDSAY DISTRICT HOSPITAL
150-199,47000.0,95853.97989091475,2765.0,Non-DSH,106420491.0,LOMPOC HEALTHCARE DISTRICT
1-49,1139.0,3124.557778123146,510.0,Non-DSH,106260011.0,MAMMOTH HOSPITAL
1-49,5558.0,11420.687860629709,1619.0,Non-DSH,106050932.0,MARK TWAIN ST. JOSEPH'S HOSPITAL
100-149,21548.0,42848.38904760105,5395.0,Non-DSH,106090933.0,MARSHALL HOSPITAL
100-149,31649.0,51013.4761975863,773.0,DSH,106450936.0,MAYERS MEMORIAL HOSPITAL
50-99,19713.0,24692.745380077486,52.0,DSH,106540755.0,MEMORIAL HOSPITAL AT EXETER
1-49,6280.0,11760.835166321081,1868.0,Non-DSH,106240924.0,MEMORIAL HOSPITAL LOS BANOS
50-99,8299.0,18077.79914156269,1829.0,Non-DSH,106231013.0,MENDOCINO COAST DISTRICT HOSPITAL
50-99,18181.0,31363.764707933602,1743.0,Non-DSH,106470871.0,MERCY HOSPITAL OF MT. SHASTA
50-99,24137.0,36775.251873451074,407.0,DSH,106150830.0,MERCY WESTSIDE HOSPITAL
50-99,20117.0,36837.999554656155,230.0,DSH,106250956.0,MODOC MEDICAL CENTER
1-49,8471.0,16865.753908896368,666.0,Non-DSH,106361266.0,MOUNTAINS COMMUNITY HOSPITAL
1-49,3698.0,7599.3683338242545,1209.0,Non-DSH,106141273.0,NORTHERN INYO HOSPITAL
100-149,47861.0,90028.19571140934,2604.0,Non-DSH,106500967.0,OAK VALLEY DISTRICT HOSPITAL
100-149,18463.0,33337.741561040966,1074.0,Non-DSH,106560501.0,OJAI VALLEY COMMUNITY HOSPITAL
1-49,6182.0,12185.3363820998,1342.0,Non-DSH,106491338.0,PALM DRIVE HOSPITAL
50-99,5905.0,11272.436237693653,1905.0,Non-DSH,106331288.0,PALO VERDE HOSPITAL
50-99,17593.0,28329.403488193977,4978.0,DSH,106130760.0,PIONEERS MEMORIAL HOSPITAL
1-49,1516.0,5084.259107894625,579.0,Non-DSH,106320986.0,PLUMAS DISTRICT HOSPITAL
1-49,5356.0,12588.88024912003,1437.0,Non-DSH,106171049.0,REDBUD COMMUNITY HOSPITAL
50-99,7335.0,13975.917979664058,1910.0,Non-DSH,106121051.0,REDWOOD MEMORIAL HOSPITAL
50-99,14928.0,20356.26569296119,3123.0,Non-DSH,106331326.0,SAN GORGONIO MEMORIAL HOSPITAL
1-49,5649.0,10930.961466590836,650.0,DSH,106100791.0,SANGER GENERAL HOSPITAL
1-49,957.0,3486.6161422407204,311.0,Non-DSH,106420522.0,SANTA YNEZ VALLEY COTTAGE HOSPITAL
50-99,7391.0,18850.28259385359,1927.0,Non-DSH,106100793.0,SELMA COMMUNITY HOSPITAL
1-49,6783.0,17334.48672511253,365.0,DSH,106321016.0,SENECA HOSPITAL
100-149,41174.0,52565.055677773606,92.0,Non-DSH,106410828.0,SETON MEDICAL CENTER - COASTSIDE
1-49,4577.0,11102.390095180965,1930.0,Non-DSH,106100797.0,SIERRA KINGS DISTRICT HOSPITAL
100-149,27545.0,45491.72512966844,7033.0,Non-DSH,106291023.0,SIERRA NEVADA MEMORIAL HOSPITAL
1-49,12015.0,17842.512761854345,69.0,DSH,106461024.0,SIERRA VALLEY DISTRICT HOSPITAL
100-149,32089.0,76557.28354040257,3272.0,Non-DSH,106551034.0,SONORA COMMUNITY HOSPITAL
1-49,12528.0,23286.128769293504,87.0,Non-DSH,106141338.0,SOUTHERN INYO HOSPITAL
50-99,13479.0,23609.73482373187,3557.0,Non-DSH,106521041.0,ST. ELIZABETH COMMUNITY HOSPITAL
150-199,48340.0,59089.81760036716,10860.0,Non-DSH,106361343.0,ST. MARY REGIONAL MEDICAL CENTER
1-49,8342.0,13527.85294233576,94.0,DSH,106250955.0,SURPRISE VALLEY COMMUNITY HOSPITAL
50-99,11323.0,23132.7216973311,2732.0,Non-DSH,106084001.0,SUTTER COAST HOSPITAL
50-99,11431.0,23043.114594180042,2761.0,Non-DSH,106171395.0,SUTTER LAKESIDE HOSPITAL
50-99,18753.0,37178.562019886696,2230.0,Non-DSH,106291053.0,TAHOE FOREST HOSPITAL
1-49,6438.0,32574.958982015803,162.0,Non-DSH,106150808.0,TEHACHAPI HOSPITAL
50-99,11898.0,19396.660597668142,664.0,DSH,106531059.0,TRINITY GENERAL HOSPITAL
50-99,21289.0,44358.856174206776,1888.0,Non-DSH,106551061.0,TUOLUMNE GENERAL HOSPITAL
100-149,14902.0,27889.4456442961,4144.0,Non-DSH,106231396.0,UKIAH VALLEY MEDICAL CENTER-HOSPITAL DR
100-149,26173.0,42064.98938377214,7213.0,DSH,106361370.0,VICTOR VALLEY COMMUNITY HOSPITAL
1-49,5692.0,22749.513954975504,1462.0,DSH,106171049.0,ADVENTIST HEALTH CLEARLAKE
200-299,44083.0,117356.890332168,9455.0,DSH,106164029.0,ADVENTIST HEALTH HANFORD
1-49,7090.0,12697.5113609504,1671.0,Non-DSH,106234038.0,ADVENTIST HEALTH HOWARD MEMORIAL
1-49,4473.0,35672.8371772406,1838.0,DSH,106100797.0,ADVENTIST HEALTH REEDLEY
150-199,39689.0,122000.891893456,4158.0,DSH,106554011.0,ADVENTIST HEALTH SONORA - GREENLEY
1-49,2420.0,60027.8168427703,142.0,Non-DSH,106150808.0,ADVENTIST HEALTH TEHACHAPI VALLEY
50-99,11656.0,38458.797177809,3451.0,DSH,106231396.0,ADVENTIST HEALTH UKIAH VALLEY
1-49,3366.0,11862.542831876302,987.0,Non-DSH,106184008.0,BANNER LASSEN MEDICAL CENTER
1-49,6517.0,17201.0706879284,2163.0,Non-DSH,106364430.0,BARSTOW COMMUNITY HOSPITAL
100-149,22951.0,58349.6876870771,2380.0,Non-DSH,106090793.0,BARTON MEMORIAL HOSPITAL
1-49,7332.0,83374.2754433227,162.0,DSH,106361110.0,BEAR VALLEY COMMUNITY HOSPITAL
1-49,2783.0,17805.9466663429,21.0,Non-DSH,106190045.0,CATALINA ISLAND MEDICAL CENTER
100-149,23504.0,65503.3937213867,221.0,DSH,106100697.0,COALINGA REGIONAL MEDICAL CENTER
1-49,1495.0,6654.361138942874,519.0,DSH,106361458.0,COLORADO RIVER MEDICAL CENTER
1-49,4407.0,9009.27015444596,760.0,Non-DSH,106060870.0,COLUSA MEDICAL CENTER
50-99,19009.0,65560.1889180625,202.0,DSH,106320859.0,EASTERN PLUMAS HEALTH CARE
1-49,4597.0,14292.3079436603,1234.0,Non-DSH,106474007.0,FAIRCHILD MEDICAL CENTER
50-99,17784.0,59138.2990942215,934.0,DSH,106270777.0,GEORGE L. MEE MEMORIAL HOSPITAL
1-49,3127.0,16250.932055093701,185.0,Non-DSH,106110889.0,GLENN MEDICAL CENTER
150-199,41634.0,122099.789338692,2274.0,DSH,106350784.0,HAZEL HAWKINS MEMORIAL HOSPITAL
1-49,8400.0,21832.795410491,732.0,Non-DSH,106490964.0,HEALDSBURG DISTRICT HOSPITAL
150-199,35164.0,90477.0875136937,2214.0,DSH,106362041.0,HI-DESERT MEDICAL CENTER
1-49,4106.0,20055.7224369969,63.0,Non-DSH,106121031.0,JEROLD PHELPS COMMUNITY HOSPITAL
1-49,10214.0,35823.0425061261,317.0,Non-DSH,106220733.0,JOHN C. FREMONT HEALTHCARE DISTRICT
100-149,24543.0,65349.314518515304,533.0,DSH,106150737.0,KERN VALLEY HOSPITAL DISTRICT
150-199,40449.0,110734.449982512,2428.0,DSH,106420491.0,LOMPOC VALLEY MEDICAL CENTER
1-49,1437.0,5366.35091870933,660.0,Non-DSH,106260011.0,MAMMOTH HOSPITAL
1-49,3327.0,10923.2087792844,873.0,Non-DSH,106050932.0,MARK TWAIN MEDICAL CENTER
100-149,24080.0,51284.46111325759,5471.0,Non-DSH,106090933.0,MARSHALL MEDICAL CENTER
100-149,27302.0,63350.3221758685,402.0,Non-DSH,106450936.0,MAYERS MEMORIAL HOSPITAL
1-49,3705.0,14621.671918568434,1667.0,DSH,106240924.0,MEMORIAL HOSPITAL LOS BANOS
1-49,4036.0,17935.8042948695,913.0,Non-DSH,106231013.0,MENDOCINO COAST DISTRICT HOSPITAL
1-49,2861.0,8500.30755205304,1066.0,Non-DSH,106470871.0,MERCY MEDICAL CENTER MT. SHASTA
50-99,12206.0,50335.2727197813,251.0,Non-DSH,106250956.0,MODOC MEDICAL CENTER
1-49,8111.0,40806.3911787774,283.0,DSH,106361266.0,MOUNTAINS COMMUNITY HOSPITAL
1-49,3474.0,11997.1502827848,1106.0,DSH,106141273.0,NORTHERN INYO HOSPITAL
100-149,36309.0,138879.204301923,1012.0,DSH,106500967.0,OAK VALLEY HOSPITAL DISTRICT
50-99,23559.0,51413.0914428695,552.0,DSH,106560501.0,OJAI VALLEY COMMUNITY HOSPITAL
100-149,12189.0,51977.2392295802,420.0,Non-DSH,106040802.0,ORCHARD HOSPITAL
50-99,2261.0,7854.80165436092,852.0,DSH,106331288.0,PALO VERDE HOSPITAL
1-49,1536.0,7420.29303570412,529.0,Non-DSH,106320986.0,PLUMAS DISTRICT HOSPITAL
1-49,5588.0,14934.8408473189,1413.0,Non-DSH,106121051.0,REDWOOD MEMORIAL HOSPITAL
150-199,29769.0,99632.3997900369,2098.0,Non-DSH,106150782.0,RIDGECREST REGIONAL HOSPITAL
50-99,11632.0,30395.3886247407,3039.0,DSH,106331326.0,SAN GORGONIO MEMORIAL HOSPITAL
1-49,615.0,5264.698947428918,213.0,Non-DSH,106420522.0,SANTA YNEZ VALLEY COTTAGE HOSPITAL
1-49,6265.0,24200.5347759025,153.0,Non-DSH,106321016.0,SENECA HEALTHCARE DISTRICT
100-149,19178.0,38306.8538720047,4829.0,DSH,106291023.0,SIERRA NEVADA MEMORIAL HOSPITAL
1-49,3424.0,6008.90212301229,780.0,Non-DSH,106491338.0,SONOMA SPECIALTY HOSPITAL
1-49,4799.0,9587.09899748375,82.0,Non-DSH,106141338.0,SOUTHERN INYO HOSPITAL
50-99,8843.0,27177.0013381068,3174.0,Non-DSH,106521041.0,ST. ELIZABETH COMMUNITY HOSPITAL
200-299,65627.0,113573.374009889,14500.0,Non-DSH,106361343.0,ST. MARY MEDICAL CENTER - APPLE VALLEY
1-49,7161.0,10801.4390976764,25.0,Non-DSH,106250955.0,SURPRISE VALLEY COMMUNITY HOSPITAL
50-99,8877.0,19549.5860574709,2353.0,DSH,106034002.0,SUTTER AMADOR HOSPITAL
1-49,9558.0,23644.0384881984,2337.0,DSH,106084001.0,SUTTER COAST HOSPITAL
1-49,6345.0,22361.0137789891,1874.0,DSH,106171395.0,SUTTER LAKESIDE HOSPITAL
50-99,16759.0,57110.1993166205,1667.0,Non-DSH,106291053.0,TAHOE FOREST HOSPITAL
1-49,5780.0,14204.6845480545,323.0,Non-DSH,106531059.0,TRINITY HOSPITAL
100-149,16774.0,32435.4605643007,4310.0,Non-DSH,106400548.0,TWIN CITIES COMMUNITY HOSPITAL
100-149,20163.0,33199.8107233025,5263.0,DSH,106361370.0,VICTOR VALLEY GLOBAL MEDICAL CENTER
50-99,9481.0,24454.4230102269,2336.0,DSH,106034002.0,SUTTER AMADOR HOSPITAL
1-49,3805.0,20050.5356186801,470.0,Non-DSH,106040802.0,ORCHARD HOSPITAL
1-49,2928.0,10201.4359060092,801.0,Non-DSH,106050932.0,MARK TWAIN MEDICAL CENTER
1-49,6152.0,20196.557634455,724.0,Non-DSH,106060870.0,COLUSA MEDICAL CENTER
1-49,8896.0,26010.060967991,2023.0,DSH,106084001.0,SUTTER COAST HOSPITAL
100-149,21278.0,81884.34959656456,1621.0,Non-DSH,106090793.0,BARTON MEMORIAL HOSPITAL
100-149,16683.0,46607.9547741037,4327.0,Non-DSH,106090933.0,MARSHALL MEDICAL CENTER
100-149,23743.0,33651.3839766028,519.0,Non-DSH,106100697.0,COALINGA REGIONAL MEDICAL CENTER
1-49,6241.0,54908.2871940656,1668.0,DSH,106100797.0,ADVENTIST HEALTH REEDLEY
1-49,6766.0,21677.2438153709,152.0,Non-DSH,106110889.0,GLENN MEDICAL CENTER
1-49,3261.0,17565.438689152234,73.0,Non-DSH,106121031.0,JEROLD PHELPS COMMUNITY HOSPITAL
1-49,4415.0,17656.4453028862,726.0,Non-DSH,106121051.0,PROVIDENCE REDWOOD MEMORIAL HOSPITAL
1-49,2131.0,11290.3456501688,806.0,Non-DSH,106141273.0,NORTHERN INYO HOSPITAL
1-49,10587.0,26776.9775983188,67.0,Non-DSH,106141338.0,SOUTHERN INYO HOSPITAL
100-149,17898.0,46807.2299876811,365.0,DSH,106150737.0,KERN VALLEY HOSPITAL DISTRICT
150-199,25588.0,97985.53891586681,1607.0,DSH,106150782.0,RIDGECREST REGIONAL HOSPITAL
1-49,3225.0,13703.9618826178,855.0,Non-DSH,106154168.0,ADVENTIST HEALTH TEHACHAPI VALLEY
200-299,39638.0,123483.514390637,8906.0,DSH,106164029.0,ADVENTIST HEALTH HANFORD
1-49,5470.0,26232.51572832506,1330.0,DSH,106171049.0,ADVENTIST HEALTH CLEARLAKE
1-49,7125.0,25626.232748455262,1576.0,DSH,106171395.0,SUTTER LAKESIDE HOSPITAL
1-49,2873.0,12385.746464298234,798.0,DSH,106184008.0,BANNER LASSEN MEDICAL CENTER
1-49,2040.0,21025.9260789523,18.0,Non-DSH,106190045.0,CATALINA ISLAND MEDICAL CENTER
1-49,8430.0,29889.3272908184,261.0,Non-DSH,106220733.0,JOHN C. FREMONT HEALTHCARE DISTRICT
1-49,4986.0,18626.709636632,894.0,Non-DSH,106231013.0,ADVENTIST HEALTH MENDOCINO COAST
50-99,13150.0,44868.4264303736,3226.0,DSH,106231396.0,ADVENTIST HEALTH UKIAH VALLEY
1-49,6100.0,15338.3790044712,1513.0,DSH,106234038.0,ADVENTIST HEALTH HOWARD MEMORIAL
1-49,4858.0,18954.1599910926,1805.0,DSH,106240924.0,MEMORIAL HOSPITAL LOS BANOS
1-49,8141.0,11342.9849530271,55.0,Non-DSH,106250955.0,SURPRISE VALLEY COMMUNITY HOSPITAL
50-99,18028.0,58928.9565132039,313.0,Non-DSH,106254005.0,MODOC MEDICAL CENTER
1-49,1200.0,7046.11378207764,464.0,Non-DSH,106260011.0,MAMMOTH HOSPITAL
50-99,14191.0,74784.581977093,442.0,DSH,106270777.0,GEORGE L. MEE MEMORIAL HOSPITAL
100-149,17424.0,39401.4250797238,4315.0,DSH,106291023.0,SIERRA NEVADA MEMORIAL HOSPITAL
50-99,14903.0,92233.33772398626,1539.0,Non-DSH,106291053.0,TAHOE FOREST HOSPITAL
